municipio.id,municipio.codigo,municipio.nombre,municipio.provincia_id,municipio.uuid
76,13,LUBALO,7,fb0788ec-200b-4854-84d2-fae1f319c02d
77,15,CAPENDA-CAMULEMBA,7,c53ea4d1-4e0e-42d8-b0c1-3f3c99c8e92a
78,17,XÁ-MUTEBA,7,493c68a6-5065-4836-8f29-368f784401ba
79,01,BENGUELA,3,02874e2b-b928-4eb3-92b2-207c6080957c
80,03,BAÍA FARTA,3,6a2d1c17-baa2-44b1-ad28-99ac1932af4d
81,05,LOBITO,3,b9674e5e-9537-4c4b-b069-96c0c58f3ba8
82,19,CATUMBELA,3,a3f2efcf-5cea-4dc6-a26f-5912ef5168c7
83,07,CUBAL,3,6d1ae6ae-9b25-46d2-a25b-14392657fcdf
84,09,GANDA,3,42a2c78a-44c3-48ab-8115-0423e0d39cd5
85,11,BALOMBO,3,5013f114-70ba-4c42-9b81-fd1408870440
86,13,BOCOIO,3,502d031a-eb49-4bed-a29b-782785286068
87,15,CAIMBAMBO,3,2dc0e239-a0b2-40ad-b84c-f35b852a7064
88,17,CHONGOROI,3,c41a8404-9642-4454-8854-97b41b52bb7d
89,01,HUAMBO,10,a9bbbc6b-e1eb-46f7-a371-a97e5440ff75
90,03,TCHIPIPA-TCHOLOHANGA,10,066f61fa-ef98-4010-8562-85bcceaaf1bc
91,05,KATCHIUNGO,10,822e5779-ac65-46f9-a26e-6bd0958ac8a6
92,07,BAILUMBO,10,283818d5-9514-4f2a-9a9c-783ad4006d20
93,09,CAÁLA,10,65941618-fc29-43e1-82e3-ac4cc8d42a1b
94,11,ECUNHA,10,f389937a-6b5c-413d-a269-511e8b8742f7
95,13,UKUMA,10,1485679c-a47b-4136-ac5f-953638fb96bb
96,15,LONGONJO,10,24546015-560c-4c9a-ae60-94c20074a7c0
97,17,MUNGO,10,d4ffc727-6f1c-463f-8fc6-5b29cd18edad
98,19,LONDUIMBALI,10,69c60d42-310b-42f3-9e81-af627138b038
