comuna.id,comuna.codigo,comuna.nombre,comuna.municipio_id,comuna.uuid
77,03,MACOLO,23,45c9c780-3e07-4166-9ef3-752af492cbcf
78,04,MASSAU,23,91d8b990-7aef-49dc-929a-b449a52add89
79,01,PURI,24,7a711a28-c2fa-4a89-8f4f-27858052708e
80,01,QUINZALA,25,aaefcab8-0983-4037-9c14-8a79edd0cdd4
81,02,UANDO,25,f56d22d1-7189-4cd5-a1a2-e0fce89d568d
82,01,NOVA ESPERANÇA,26,12117bd3-8753-4bea-8ac5-bdcbcb9de5c4
83,02,CUILO CAMBOMZO (CAMBOSO),26,2f0cd69a-4bde-4378-be2c-7905bba846aa
84,03,QUIMBIANDA (BUENGA SUL),26,8bc80064-9418-4d91-b66d-aa273c5ca2f2
85,01,INGOMBOTA,27,64aa5340-ddb5-4d7c-a9a7-d5fed75e1a3d
86,02,MAINGA,27,4652f361-14f0-4c83-9836-33aa91eef614
87,03,RANGEL,27,16a68134-a0a8-4513-8741-1f94f8478694
88,04,SAMBIZANGA,27,854c7578-8789-4360-9455-53a8d04bd485
89,05,KILAMBA KIAXI,27,0918b55b-1617-449e-b400-aeceed32c56f
90,06,SAMBA,27,459471bb-656f-44eb-b132-c22b12e77312
91,01,CAZENGA,28,77bbf189-ed50-4f06-8a94-7b4b1b344a22
92,02,HOJI YA HENDA,28,07b2c308-f22b-4600-ba0f-76aeec4570ab
93,03,TALA HADI,28,a4411328-8ed3-447e-9df4-4b49019439e0
94,01,CACUACO,29,d1a9676e-4260-4b29-b848-10d3aa324f12
95,02,FUNDA,29,d07ca2ff-4ce8-4f8f-939c-3e1ab448aaf3
96,04,KIKOLO,29,ad397f07-3ebd-4007-925f-0196b7330dd1
97,01,VIANA,30,40704406-2eb9-4eb7-9767-4c2a838638bb
98,02,ZANGO,30,61ca2a5b-5735-4ccf-90ea-b356b7e5509d
99,03,CALUMBO,30,8485ffae-67f5-4f9b-a5b2-55cb097a7a68
100,01,BARRA DO CUANZA,31,d3f86c89-17cc-4095-89de-3b3af9a57bf9
101,02,KILAMBA,31,cf646878-7bae-432b-b8b9-4262d784f57b
102,03,CAMAMA,31,1525bd8d-50a7-4d42-ad64-6e5eedcef28b
103,04,BENFICA,31,b4dbad49-958d-4dd8-83ed-bbe5db66d003
104,05,MUSSULO,31,641d7ffa-93aa-44ff-8a29-a1b7756eed23
105,06,FUTUNGO DE BELAS,31,1f9172d0-47fe-4872-981a-501a8eba742e
106,07,RAMIROS,31,bfa7fa01-071a-4069-91f6-31cba846c173
107,01,CATETE,32,19c73136-3b91-447c-bef4-426322b2481c
108,02,BOM JESUS,32,70531a39-80f9-4c0d-af94-b1208a2fe878
109,03,CABIRI,32,d406db97-40bb-453f-b6ff-210e3029ac4d
110,05,KAKULO-KAHANGO,32,133dbf01-18e0-482b-b122-b98634fc5787
111,06,CASSONECA,32,b22e2462-28fa-4e55-97f6-92b519826eab
112,01,MUXIMA,33,ac2a8727-67bb-4dfb-8184-51f9869837d1
113,02,DEMBA CHIO,33,f0f3948a-e90e-42af-a91e-f2c5650e0df7
114,03,MUNBONDO,33,70a39aef-bdc0-4c3a-b5d9-d5b01cde1a25
115,04,CAXOMBO NOVO,33,9ba344e4-97b5-413e-be45-e268fc9068a5
116,05,CABO-LEDO,33,996964c6-2124-49bd-ba74-a223350f9ca2
117,01,NDALATANDO,34,63917696-2f86-436d-912e-e330279ddfcf
118,02,CANHOCA (EX CACULO),34,2db0079a-eef0-42bf-84f3-af9fbdda50ae
119,01,LUCALA,35,73757aea-7659-46a3-947c-382c9b55c5af
120,02,KIANGOMBE,35,6ee9af8e-e2b2-4824-9b2a-530139362414
121,01,GOLUNGO ALTO,36,179fb237-d5ad-4bff-bb56-36bbc136608d
122,02,CAMBONDO,36,065079fa-d0b7-405d-b92c-339f53371541
123,03,CERCA,36,c4389a13-5885-4c52-8b8f-bb52ea667ac6
124,04,KILUANGE,36,4eec532a-55ed-415b-9195-2bce48933527
125,01,DONDO,37,ff18c1b1-bba8-4c84-a771-c251f4db76d6
126,02,MASSANGANO,37,8ac5d3dd-3e3f-4682-9a6c-f47aa0263184
127,03,S. PEDRO DA QUILEMBA,37,f696bc9e-da9f-4ba3-a08f-eef6e339c911
128,04,ZEMZA DO ITOMBE,37,be9352d3-2464-4a1d-9353-60658f0d14a3
129,05,DANGE-YA-MENHA,37,afa51b47-ec1d-4207-81bc-ddf3b59987ff
130,01,AMBACA (EX CAMABATELA),38,e4f8671d-3d6d-4597-8873-36d7b53ea735
131,02,LUINGA,38,4d4d8ddb-6858-47d2-a9e7-f64b35fdbbb0
132,03,TANGO,38,d5f3f503-59a6-4922-ae95-09ed405917c2
133,04,MAUA,38,1ac8c374-f7c9-43bf-8df3-39cddf8e098c
134,05,BINDO,38,f2f9056c-3efe-4943-a18e-ca794d6d5772
135,01,KICULUNGO,39,a7597ffb-9d7e-4ff9-a481-e0fa2c92527b
136,01,BOLONGONGO,40,a66477b4-cbb8-4852-837a-5b16c8d64d7d
137,02,TERREIRO,40,4380a6b6-4a89-4096-b5dd-ef8a10de5d7a
138,03,KIQUIEMBA,40,293fd423-685f-4c7e-91ce-67e5c799fdd0
139,01,BANGA,41,14a1a53e-1553-4d65-b9cd-101d9005afd4
140,02,ALDEIA NOVA,41,412fda9f-3cab-4a3a-9f76-998c9b916232
141,03,CACULO CABAÇA,41,5ee338e4-0f27-4ad7-a42c-2680abd455a9
142,04,CARIAMBA,41,909c2ae6-7012-4f75-8163-a9fef3b54aba
